iter	MultiClass
0	2.4927722
1	2.403658921
2	2.34048705
3	2.270625876
4	2.212681969
5	2.146962617
6	2.09497814
7	2.047087174
8	2.003149059
9	1.953218176
10	1.909697385
11	1.869988949
12	1.833526725
13	1.796367692
14	1.752938521
15	1.726554372
16	1.696381944
17	1.67771229
18	1.653035087
19	1.624624649
20	1.608826268
21	1.591187511
22	1.569998823
23	1.546916561
24	1.520494738
25	1.499315258
26	1.476757736
27	1.450664735
28	1.435050253
29	1.420703777
30	1.403083138
31	1.382748165
32	1.367385131
33	1.347160062
34	1.33390912
35	1.316948775
36	1.30246523
37	1.28608001
38	1.264774813
39	1.2550343
40	1.240048782
41	1.220958703
42	1.213497236
43	1.205503539
44	1.190721885
45	1.180854491
46	1.174353786
47	1.165675233
48	1.160762692
49	1.150487301
50	1.135919901
51	1.122343666
52	1.108818548
53	1.10232609
54	1.092881878
55	1.085644435
56	1.0769572
57	1.067971923
58	1.060644482
59	1.05460026
60	1.04666171
61	1.037281965
62	1.028391912
63	1.017939576
64	1.009302593
65	1.000517434
66	0.9935989288
67	0.9878303534
68	0.9801339769
69	0.9689191656
70	0.9619837409
71	0.95313683
72	0.9467326054
73	0.9372274583
74	0.9298908878
75	0.9251516562
76	0.9208528352
77	0.9150278412
78	0.9084224717
79	0.9015720645
80	0.8960503305
81	0.8880911877
82	0.8827442712
83	0.8760372757
84	0.8669096552
85	0.8619319184
86	0.8549599477
87	0.8507579676
88	0.8458798687
89	0.8415271383
90	0.8349002001
91	0.8280274575
92	0.8223761727
93	0.8159931224
94	0.81152492
95	0.8058007652
96	0.800910231
97	0.7948527737
98	0.7872841037
99	0.7818492344
100	0.7777574908
101	0.7721862154
102	0.7668295117
103	0.7624786022
104	0.7553969379
105	0.7520623074
106	0.7487754524
107	0.7452184049
108	0.741478759
109	0.7365072831
110	0.7331008756
111	0.7297138295
112	0.7262296825
113	0.7211958328
114	0.7169340535
115	0.7112133251
116	0.7055669086
117	0.702248647
118	0.6981686965
119	0.694685596
120	0.6906703084
121	0.6879496503
122	0.6850950766
123	0.6820981372
124	0.6777593752
125	0.6753783274
126	0.6705403989
127	0.6664102512
128	0.6636998567
129	0.656902948
130	0.6534260393
131	0.651559539
132	0.6495312018
133	0.6461108945
134	0.6437359574
135	0.6406062633
136	0.6381113972
137	0.6353051724
138	0.6308387057
139	0.6275275015
140	0.6256663262
141	0.6211948807
142	0.6180850543
143	0.6164736515
144	0.6127927665
145	0.6100920553
146	0.6083550784
147	0.6057731001
148	0.6034044506
149	0.6018515661
150	0.5984929323
151	0.5959701668
152	0.5918495246
153	0.5884802618
154	0.5862761483
155	0.5835391476
156	0.5823431252
157	0.5796170789
158	0.5763455745
159	0.5745153279
160	0.5722771726
161	0.5708095953
162	0.569370441
163	0.5679591439
164	0.5668855422
165	0.5659083251
166	0.563486054
167	0.5619988192
168	0.5605079194
169	0.5586883341
170	0.5534935466
171	0.5525351234
172	0.5503266467
173	0.5460712935
174	0.5436684973
175	0.5422027116
176	0.5401069618
177	0.5386806449
178	0.5361464189
179	0.5340493721
180	0.531163085
181	0.5275252555
182	0.5257987303
183	0.5235625186
184	0.5219327548
185	0.5186632009
186	0.5172993069
187	0.5160204442
188	0.5147692324
189	0.5131180293
190	0.5122048052
191	0.5094808407
192	0.5082017436
193	0.5055460012
194	0.5047506531
195	0.5038327207
196	0.5012177995
197	0.500286515
198	0.4982021155
199	0.4961313637
200	0.4936426634
201	0.4926684672
202	0.490585216
203	0.48933742
204	0.4874575876
205	0.486522888
206	0.4828773483
207	0.4818473511
208	0.481118543
209	0.479564454
210	0.4764188168
211	0.4731276513
212	0.4725911103
213	0.4691055581
214	0.4679096482
215	0.4657066169
216	0.4650602035
217	0.463972003
218	0.4636169043
219	0.4620812319
220	0.4610381558
221	0.4601711114
222	0.4593333066
223	0.4583274965
224	0.4564693262
225	0.4553837325
226	0.4541605932
227	0.4511925802
228	0.4507935884
229	0.4499548113
230	0.4491795957
231	0.4480205983
232	0.4474231399
233	0.447037727
234	0.4465489088
235	0.4449993044
236	0.443823316
237	0.4430677001
238	0.4424748198
239	0.4413378379
240	0.4400293975
241	0.4380698846
242	0.4373195767
243	0.4362980101
244	0.4347882618
245	0.4343715695
246	0.4338588035
247	0.4334006559
248	0.4318774584
249	0.4307221572
250	0.4300719795
251	0.4294538664
252	0.4287725864
253	0.4261064398
254	0.4253639925
255	0.4241832018
256	0.4236728954
257	0.4225642485
258	0.4214717706
259	0.4206736513
260	0.4177081423
261	0.4172378444
262	0.4143972878
263	0.412785481
264	0.4123763371
265	0.4114133094
266	0.4109391392
267	0.4104711511
268	0.4098456473
269	0.4092536187
270	0.4088207378
271	0.4081995265
272	0.4077384415
273	0.407435174
274	0.406414605
275	0.4051037338
276	0.4040696644
277	0.4025523617
278	0.3992487045
279	0.3969997434
280	0.3933066333
281	0.3928161263
282	0.3922884965
283	0.391619235
284	0.390674025
285	0.3898547973
286	0.3877535511
287	0.386919568
288	0.3861752913
289	0.3859185535
290	0.3854366399
291	0.3850185731
292	0.3831477977
293	0.3822872559
294	0.3813362545
295	0.3806725184
296	0.3803788225
297	0.3799415551
298	0.379545975
299	0.3790129705
300	0.3776839829
301	0.3773221688
302	0.3763971554
303	0.3756786003
304	0.3754456718
305	0.3750507859
306	0.373619405
307	0.3730844583
308	0.3726732405
309	0.3719135244
310	0.3715021277
311	0.3708583611
312	0.3705751187
313	0.3685191483
314	0.3681153381
315	0.3669690638
316	0.3666699869
317	0.365946142
318	0.3656220197
319	0.3648988269
320	0.3644790087
321	0.3625610824
322	0.3622208964
323	0.3614120473
324	0.3608422185
325	0.3606435266
326	0.3603558164
327	0.3598675958
328	0.3594690809
329	0.3584474912
330	0.3571528696
331	0.3562574092
332	0.3553201097
333	0.3543339345
334	0.3535606622
335	0.3531250425
336	0.352616766
337	0.35238395
338	0.351762987
339	0.3510751195
340	0.3508535448
341	0.3504036939
342	0.3497993992
343	0.3494441779
344	0.3486932508
345	0.348327342
346	0.3479092103
347	0.3477054125
348	0.3475196633
349	0.3472733242
350	0.3462488806
351	0.3460687339
352	0.3458329146
353	0.3439274774
354	0.3433225241
355	0.342975167
356	0.3426271772
357	0.341679312
358	0.3413545657
359	0.3410615335
360	0.3395676186
361	0.339107556
362	0.338166998
363	0.3368088416
364	0.3365833435
365	0.3362046407
366	0.3344297492
367	0.3334179377
368	0.3331865353
369	0.3326832044
370	0.3318923633
371	0.3314491885
372	0.3298782762
373	0.3292171572
374	0.3288693985
375	0.3286729801
376	0.3282644307
377	0.3279400791
378	0.3269299973
379	0.3266804579
380	0.326236625
381	0.3257728836
382	0.3243028889
383	0.3240573119
384	0.3236363852
385	0.3215107463
386	0.3206250142
387	0.3203405371
388	0.3199351036
389	0.319737812
390	0.3191553743
391	0.3189074559
392	0.3187465647
393	0.3183363027
394	0.3179426704
395	0.3177033341
396	0.3174727569
397	0.3166694843
398	0.3162920546
