iter	Passed	Remaining
408	4415	6380
409	4424	6366
410	4432	6352
411	4441	6338
412	4450	6325
413	4458	6310
414	4467	6297
415	4475	6283
416	4484	6269
417	4493	6255
418	4501	6242
419	4510	6228
420	4519	6215
421	4528	6202
422	4537	6188
423	4545	6175
424	4554	6162
425	4563	6148
426	4571	6134
427	4580	6122
428	4590	6109
429	4599	6097
430	4609	6085
431	4619	6073
432	4628	6061
433	4638	6048
434	4647	6036
435	4656	6023
436	4666	6011
437	4676	6000
438	4685	5988
439	4694	5974
440	4704	5962
441	4712	5949
442	4722	5937
443	4732	5926
444	4742	5914
445	4750	5901
446	4759	5888
447	4768	5875
448	4777	5862
449	4785	5849
450	4794	5836
451	4803	5823
452	4812	5811
453	4821	5798
454	4830	5786
455	4840	5774
456	4848	5761
457	4857	5748
458	4866	5736
459	4875	5723
460	4884	5711
461	4895	5700
462	4903	5687
463	4913	5675
464	4922	5663
465	4931	5651
466	4941	5639
467	4950	5627
468	4959	5615
469	4998	5636
470	5018	5636
471	5035	5633
472	5046	5622
473	5057	5612
474	5067	5601
475	5077	5589
476	5087	5577
477	5097	5566
478	5106	5554
479	5115	5542
480	5125	5529
481	5134	5517
482	5144	5506
483	5153	5494
484	5162	5481
485	5171	5469
486	5180	5456
487	5189	5444
488	5200	5434
489	5214	5427
490	5224	5416
491	5234	5404
492	5244	5393
493	5253	5381
494	5263	5370
495	5272	5357
496	5281	5344
497	5289	5332
498	5299	5320
499	5308	5308
500	5317	5296
501	5327	5284
502	5336	5273
503	5348	5263
504	5358	5252
505	5369	5242
506	5379	5231
507	5390	5220
508	5401	5210
509	5411	5198
510	5422	5189
511	5433	5178
512	5443	5167
513	5453	5156
514	5464	5146
515	5475	5135
516	5484	5123
517	5494	5112
518	5504	5101
519	5513	5088
520	5522	5077
521	5531	5065
522	5543	5056
523	5554	5045
524	5564	5034
525	5575	5024
526	5585	5013
527	5595	5001
528	5604	4990
529	5614	4978
530	5623	4966
531	5632	4955
532	5641	4943
533	5651	4931
534	5660	4920
535	5670	4908
536	5679	4896
537	5688	4884
538	5700	4875
539	5709	4863
540	5718	4851
541	5728	4840
542	5737	4828
543	5746	4816
544	5755	4805
545	5765	4793
546	5774	4782
547	5783	4770
548	5792	4758
549	5801	4746
550	5810	4734
551	5819	4722
552	5828	4711
553	5836	4699
554	5845	4686
555	5854	4674
556	5863	4663
557	5872	4651
558	5885	4642
559	5894	4631
560	5904	4620
561	5913	4609
562	5923	4597
563	5931	4585
564	5940	4573
565	5950	4562
566	5959	4550
567	5968	4539
568	5980	4529
569	5989	4518
570	5998	4506
571	6006	4494
572	6015	4482
573	6024	4471
574	6033	4459
575	6043	4448
576	6051	4436
577	6060	4424
578	6069	4413
579	6078	4401
580	6087	4389
581	6095	4378
582	6104	4366
583	6116	4357
584	6126	4346
585	6137	4335
586	6147	4325
587	6156	4313
588	6166	4302
589	6175	4291
590	6185	4280
591	6194	4269
592	6204	4258
593	6216	4248
594	6226	4238
595	6242	4231
596	6251	4220
597	6261	4208
598	6280	4204
599	6293	4195
600	6307	4187
601	6317	4176
602	6326	4165
603	6336	4154
604	6345	4142
605	6353	4131
606	6362	4119
607	6372	4108
608	6381	4097
609	6390	4085
610	6400	4075
611	6410	4063
612	6419	4052
613	6428	4041
614	6437	4030
615	6446	4018
616	6455	4007
617	6464	3995
618	6473	3984
619	6483	3974
620	6493	3963
621	6503	3952
622	6514	3942
623	6526	3932
624	6541	3925
625	6557	3917
626	6569	3908
627	6579	3897
628	6589	3886
629	6599	3876
630	6610	3865
631	6620	3855
632	6631	3844
633	6641	3834
634	6651	3823
635	6660	3812
636	6669	3800
637	6678	3789
638	6687	3778
639	6696	3766
640	6704	3755
641	6714	3744
642	6724	3733
643	6733	3722
644	6742	3711
645	6752	3700
646	6761	3688
647	6769	3677
648	6778	3666
649	6787	3655
650	6798	3644
651	6807	3633
652	6817	3622
653	6826	3611
654	6835	3600
655	6844	3589
656	6853	3577
657	6863	3567
658	6874	3557
659	6883	3546
660	6893	3535
661	6903	3524
662	6912	3513
663	6922	3502
664	6931	3491
665	6939	3480
666	6948	3469
667	6960	3459
668	6969	3448
669	6978	3437
670	6987	3426
671	6995	3414
672	7005	3403
673	7014	3392
674	7023	3381
675	7033	3370
676	7041	3359
677	7050	3348
678	7059	3337
679	7069	3326
680	7078	3315
681	7088	3305
682	7099	3295
683	7108	3284
684	7117	3273
685	7127	3262
686	7135	3250
687	7144	3240
688	7153	3229
689	7163	3218
690	7172	3207
691	7181	3196
692	7190	3185
693	7199	3174
694	7209	3164
695	7220	3153
696	7229	3142
697	7239	3132
698	7247	3120
699	7257	3110
700	7267	3099
701	7276	3088
702	7285	3078
